A c e r 	 	 9 9 	 	 d e v i c e s
a l c a t e l 	 	 3 5 5 	 	 d e v i c e s
A l l v i e w 	 	 1 1 5 	 	 d e v i c e s
A m a z o n 	 	 1 4 	 	 d e v i c e s
A m o i 	 	 4 7 	 	 d e v i c e s
A p p l e 	 	 4 9 	 	 d e v i c e s
A r c h o s 	 	 2 6 	 	 d e v i c e s
A s u s 	 	 1 3 6 	 	 d e v i c e s
A T & T ; 	 	 4 	 	 d e v i c e s
B e n e f o n 	 	 9 	 	 d e v i c e s
B e n Q 	 	 3 5 	 	 d e v i c e s
B e n Q - S i e m e n s 	 	 2 7 	 	 d e v i c e s
B i r d 	 	 6 1 	 	 d e v i c e s
B l a c k B e r r y 	 	 8 5 	 	 d e v i c e s
B L U 	 	 2 0 8 	 	 d e v i c e s
B o s c h 	 	 1 0 	 	 d e v i c e s
B Q 	 	 1 0 	 	 d e v i c e s
C a s i o 	 	 5 	 	 d e v i c e s
C a t 	 	 9 	 	 d e v i c e s
C e l k o n 	 	 2 2 9 	 	 d e v i c e s
C h e a 	 	 1 2 	 	 d e v i c e s
C o o l p a d 	 	 1 4 	 	 d e v i c e s
D e l l 	 	 2 0 	 	 d e v i c e s
E m p o r i a 	 	 1 5 	 	 d e v i c e s
E n e r g i z e r 	 	 5 	 	 d e v i c e s
E r i c s s o n 	 	 4 0 	 	 d e v i c e s
E t e n 	 	 2 2 	 	 d e v i c e s
F u j i t s u 	 	 S i e m e n s 	 	 2 	 	 d e v i c e s
G a r m i n - A s u s 	 	 5 	 	 d e v i c e s
G i g a b y t e 	 	 6 3 	 	 d e v i c e s
G i o n e e 	 	 5 9 	 	 d e v i c e s
G o o g l e 	 	 3 	 	 d e v i c e s
H a i e r 	 	 5 1 	 	 d e v i c e s
H P 	 	 4 1 	 	 d e v i c e s
H T C 	 	 2 4 3 	 	 d e v i c e s
H u a w e i 	 	 2 2 1 	 	 d e v i c e s
i - m a t e 	 	 3 4 	 	 d e v i c e s
i - m o b i l e 	 	 3 7 	 	 d e v i c e s
I c e m o b i l e 	 	 6 0 	 	 d e v i c e s
I n n o s t r e a m 	 	 1 8 	 	 d e v i c e s
i N Q 	 	 5 	 	 d e v i c e s
